region,division,classification,position,status,item_status,year_created,number
Region X - Northern Mindanao,Division of Malaybalay City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2026,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2023,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Master Teacher I,Filled,Regular,1999,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Master Teacher I,Filled,Regular,2000,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2015,4
Region X - Northern Mindanao,Division of Oroquieta City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2004,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2017,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Special Science Teacher I,Filled,Regular,2020,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Master Teacher II,Filled,Regular,2018,4
Region V - Bicol,Division of Ligao City,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2025,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2017,4
Region VII - Central Visayas,Division of Lapu-lapu City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2004,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Master Teacher II,Filled,Regular,2025,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Master Teacher I,Filled,Regular,2022,4
Region V - Bicol,Division of Ligao City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Special Education Teacher I,Filled,Regular,2018,4
Region V - Bicol,Division of Masbate,Non-Teaching Personnel,Administrative Aide III,Filled,CTI,2004,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Special Education Teacher I,Filled,Regular,2024,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Special Education Teacher III,Filled,Regular,2019,4
Region V - Bicol,Division of Masbate,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2014,4
Region VIII - Eastern Visayas,Division of Biliran,Non-Teaching Personnel,Senior Bookkeeper,Filled,Regular,2011,4
Region V - Bicol,Division of Masbate,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2004,4
Region V - Bicol,Division of Masbate,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2008,4
Region IVA - CALABARZON,Division of San Pedro City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2018,4
Region VIII - Eastern Visayas,Division of Biliran,Related-Teaching Personnel,Registrar I,Filled,Regular,2016,4
Region VIII - Eastern Visayas,Division of Biliran,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2023,4
Region VIII - Eastern Visayas,Division of Biliran,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Teacher I,Filled,Regular,2010,4
Region IVA - CALABARZON,Division of San Pedro City,Related-Teaching Personnel,Head Teacher VI,Filled,Regular,2006,4
Region IVA - CALABARZON,Division of General Trias City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2018,4
Region IVA - CALABARZON,Division of San Pedro City,Teaching Personnel,Teacher IV,Filled,Regular,2026,4
Region X - Northern Mindanao,Division of Misamis Oriental,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Teacher II,Filled,Regular,2005,4
Region VIII - Eastern Visayas,Division of Biliran,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2016,4
Region VIII - Eastern Visayas,Division of Biliran,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2004,4
Region VII - Central Visayas,Division of Danao City,Teaching Personnel,Master Teacher II,Filled,Regular,2018,4
Region IVA - CALABARZON,Division of San Pedro City,Teaching Personnel,Teacher II,Filled,Regular,2006,4
Region VII - Central Visayas,Division of Lapu-lapu City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2017,4
Region VIII - Eastern Visayas,Division of Biliran,Non-Teaching Personnel,Administrative Aide IV,Unfilled,CTI,2004,4
Region X - Northern Mindanao,Division of Malaybalay City,Teaching Personnel,Teacher III,Filled,Regular,2010,4
Region IVA - CALABARZON,Division of San Pedro City,Teaching Personnel,Teacher I,Filled,Regular,2023,4
Region VIII - Eastern Visayas,Division of Baybay City,School Head Personnel,School Principal IV,Filled,Regular,2010,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Master Teacher II,Filled,Regular,2007,4
Region VIII - Eastern Visayas,Division of Baybay City,School Head Personnel,School Principal III,Filled,Regular,2025,4
Region IVA - CALABARZON,Division of San Pedro City,Teaching Personnel,Master Teacher I,Filled,Regular,2025,4
Region IVA - CALABARZON,Division of General Trias City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2017,4
Region VIII - Eastern Visayas,Division of Baybay City,School Head Personnel,School Principal III,Filled,Regular,2024,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Special Science Teacher I,Filled,Regular,2016,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Special Science Teacher I,Filled,Regular,2018,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Special Science Teacher I,Filled,Regular,2021,4
Region VI - Western Visayas,Division of Antique,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region VII - Central Visayas,Division of Lapu-lapu City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2007,4
Region IVA - CALABARZON,Division of San Pedro City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Malaybalay City,Related-Teaching Personnel,Public Schools District Supervisor,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Malaybalay City,School Head Personnel,School Principal I,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of San Pedro City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Malaybalay City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Misamis Occidental,Non-Teaching Personnel,Administrative Aide III,Filled,Regular,2004,4
Region IVA - CALABARZON,Division of General Trias City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2018,4
Region X - Northern Mindanao,Division of Misamis Occidental,Non-Teaching Personnel,Administrative Aide IV,Unfilled,Regular,2004,4
Region IVA - CALABARZON,Division of San Pablo City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2015,4
Region IVA - CALABARZON,Division of San Pablo City,School Head Personnel,School Principal IV,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Misamis Occidental,Non-Teaching Personnel,Administrative Aide VI,Unfilled,Regular,2014,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher I,Filled,Regular,2022,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher II,Filled,Regular,2001,4
Region IVA - CALABARZON,Division of San Pablo City,School Head Personnel,School Principal I,Filled,Regular,2025,4
Region X - Northern Mindanao,Division of Misamis Occidental,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2011,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher II,Filled,Regular,2014,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher II,Filled,Regular,2018,4
Region X - Northern Mindanao,Division of Misamis Occidental,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,2017,4
Region V - Bicol,Division of Masbate,Teaching Personnel,Teacher II,Unfilled,Regular,1998,4
Region X - Northern Mindanao,Division of Misamis Occidental,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Misamis Occidental,Non-Teaching Personnel,Farm Worker I,Filled,Regular,1998,4
Region IVA - CALABARZON,Division of General Trias City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2004,4
Region X - Northern Mindanao,Division of Misamis Occidental,Security Personnel,Watchman I,Filled,Regular,1998,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Master Teacher I,Filled,Regular,2008,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Teacher III,Filled,Regular,2005,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Teacher III,Filled,Regular,2003,4
Region IVA - CALABARZON,Division of Dasmariñas City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2015,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Master Teacher I,Filled,Regular,2019,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Teacher I,Filled,Regular,2021,4
Region V - Bicol,Division of Masbate,School Head Personnel,Assistant School Principal II,Filled,Regular,2016,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Teacher I,Filled,Regular,2011,4
Region V - Bicol,Division of Masbate,Related-Teaching Personnel,Guidance Counselor I,Unfilled,CTI,2009,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Teacher I,Filled,Regular,2010,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher I,Filled,Regular,2005,4
Region V - Bicol,Division of Masbate,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2020,4
Region V - Bicol,Division of Masbate,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2021,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher I,Filled,Regular,2010,4
Region V - Bicol,Division of Masbate,Related-Teaching Personnel,Head Teacher I,Unfilled,Regular,2016,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Master Teacher II,Filled,Regular,2022,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Master Teacher II,Filled,Regular,2020,4
Region VIII - Eastern Visayas,Division of Baybay City,Teaching Personnel,Teacher III,Filled,Regular,2010,4
Region IVA - CALABARZON,Division of San Pablo City,Teaching Personnel,Master Teacher I,Filled,Regular,2019,4
Region V - Bicol,Division of Masbate,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2001,4
Region V - Bicol,Division of Masbate,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2008,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher I,Unfilled,Regular,2012,4
Region V - Bicol,Division of Masbate,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2020,4
Region IVA - CALABARZON,Division of San Pablo City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2015,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher I,Unfilled,Regular,2018,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher I,Unfilled,Regular,2025,4
Region IVA - CALABARZON,Division of San Pablo City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2016,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher II,Filled,Regular,2020,4
Region VII - Central Visayas,Division of Lapu-lapu City,Non-Teaching Personnel,Administrative Aide III,Filled,CTI,2004,4
Region IVA - CALABARZON,Division of Rizal,School Head Personnel,School Principal IV,Filled,Regular,2024,4
Region VI - Western Visayas,Division of Capiz,Non-Teaching Personnel,Administrative Aide III,Unfilled,Regular,2004,4
Region IVA - CALABARZON,Division of Rizal,School Head Personnel,School Principal IV,Filled,Regular,2021,4
Region V - Bicol,Division of Masbate City,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2021,4
Region IVA - CALABARZON,Division of Rizal,School Head Personnel,School Principal III,Filled,Regular,2022,4
Region V - Bicol,Division of Masbate City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher II,Filled,Regular,2026,4
Region XI - Davao,Division of Davao City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region VIII - Eastern Visayas,Division of Baybay City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2021,4
Region VIII - Eastern Visayas,Division of Baybay City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2017,4
Region VIII - Eastern Visayas,Division of Baybay City,Teaching Personnel,Master Teacher II,Filled,Regular,2019,4
Region VIII - Eastern Visayas,Division of Baybay City,Teaching Personnel,Master Teacher I,Filled,Regular,2019,4
Region VIII - Eastern Visayas,Division of Baybay City,Teaching Personnel,Master Teacher I,Filled,Regular,2016,4
Region IVA - CALABARZON,Division of Rizal,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2020,4
Region IVA - CALABARZON,Division of Rizal,Related-Teaching Personnel,Head Teacher II,Unfilled,Regular,2020,4
Region IVA - CALABARZON,Division of Rizal,Related-Teaching Personnel,Head Teacher II,Unfilled,Regular,2010,4
Region VIII - Eastern Visayas,Division of Baybay City,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2021,4
Region IVA - CALABARZON,Division of Dasmariñas City,Related-Teaching Personnel,Head Teacher III,Filled,Regular,1998,4
Region VII - Central Visayas,Division of Danao City,Teaching Personnel,Teacher I,Filled,Regular,2004,4
Region IVA - CALABARZON,Division of Rizal,Related-Teaching Personnel,Head Teacher I,Unfilled,Regular,2019,4
Region IVA - CALABARZON,Division of Rizal,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2021,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher III,Unfilled,Regular,2002,4
Region IVA - CALABARZON,Division of Lucena City,Teaching Personnel,Teacher II,Filled,Regular,2025,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher III,Unfilled,Regular,2017,4
Region X - Northern Mindanao,Division of Misamis Occidental,Teaching Personnel,Teacher III,Unfilled,Regular,2019,4
Region VII - Central Visayas,Regional Office - Proper,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,1998,4
Region VII - Central Visayas,Division of Toledo City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2015,4
Region IVA - CALABARZON,Division of Rizal,Teaching Personnel,Teacher III,Filled,Regular,2004,4
Region IVA - CALABARZON,Division of Rizal,Teaching Personnel,Teacher III,Filled,Regular,2003,4
Region IVA - CALABARZON,Division of Rizal,Teaching Personnel,Teacher III,Filled,Regular,2001,4
Region X - Northern Mindanao,Division of Misamis Oriental,School Head Personnel,School Principal I,Filled,Regular,2025,4
Region X - Northern Mindanao,Division of Misamis Oriental,School Head Personnel,School Principal I,Filled,Regular,2011,4
